X,Y,Z,code
16.3279,48.1704,8249,040
16.3362,48.1704,7205,040
16.3446,48.1704,7458,040
16.3529,48.1704,7980,040
16.3612,48.1704,8208,040
16.3696,48.1704,8526,040
16.3779,48.1704,8483,040
16.3862,48.1704,8366,040
16.3946,48.1704,7693,040
16.4029,48.1704,7353,040
16.4112,48.1704,7779,040
16.4196,48.1704,8628,040
16.4279,48.1704,8468,040
16.4362,48.1704,8478,040
16.4446,48.1704,8363,040
16.4529,48.1704,7961,040
16.4612,48.1704,7792,040
16.4696,48.1704,7308,040
16.4779,48.1704,5218,040
16.2612,48.1621,5995,040
16.2696,48.1621,6196,040
16.2779,48.1621,6396,040
16.2862,48.1621,5054,040
16.2946,48.1621,5491,040
16.3029,48.1621,6863,040
16.3112,48.1621,7300,040
16.3196,48.1621,7568,040
16.3279,48.1621,7958,040
16.3362,48.1621,5345,040
16.3612,48.1621,6274,040
16.3696,48.1621,6010,040
16.3779,48.1621,5853,040
16.3862,48.1621,6927,040
16.4112,48.1621,5365,040
16.4196,48.1621,7419,040
16.4279,48.1621,7645,040
16.4362,48.1621,7552,040
16.4446,48.1621,6151,040
16.4529,48.1621,7026,040
16.4612,48.1621,8050,040
16.4696,48.1621,8214,040
16.4779,48.1621,6965,040
16.2612,48.1537,5338,040
16.2696,48.1537,6764,040
16.2779,48.1537,6902,040
16.2862,48.1537,6841,040
16.2946,48.1537,6477,040
16.3029,48.1537,6842,040
16.3112,48.1537,7196,040
16.3196,48.1537,7308,040
16.3279,48.1537,7096,040
16.3362,48.1537,5499,040
16.3446,48.1537,5557,040
16.3529,48.1537,6022,040
16.3612,48.1537,6652,040
16.3696,48.1537,6935,040
16.3779,48.1537,7003,040
16.3862,48.1537,5461,040
16.3946,48.1537,6232,040
16.4029,48.1537,5151,040
16.4529,48.1537,5869,040
16.4612,48.1537,8131,040
16.4696,48.1537,7816,040
16.2612,48.1454,6388,040
16.2696,48.1454,6959,040
16.2779,48.1454,6977,040
16.2862,48.1454,7143,040
16.2946,48.1454,7042,040
16.3029,48.1454,5685,040
16.3112,48.1454,6006,040
16.3196,48.1454,7152,040
16.3279,48.1454,7494,040
16.3362,48.1454,6860,040
16.3446,48.1454,6803,040
16.3529,48.1454,7475,040
16.3612,48.1454,7328,040
16.3696,48.1454,7183,040
16.3779,48.1454,7252,040
16.3862,48.1454,7607,040
16.3946,48.1454,6358,040
16.4612,48.1454,6026,040
16.2612,48.1371,6199,040
16.2696,48.1371,6238,040
16.2779,48.1371,6710,040
16.2862,48.1371,7105,040
16.2946,48.1371,7094,040
16.3029,48.1371,7093,040
16.3112,48.1371,7389,040
16.3196,48.1371,7674,040
16.3446,48.1371,5114,040
16.3529,48.1371,5806,040
16.3612,48.1371,6878,040
16.3029,48.1287,5252,040
16.3112,48.1287,6546,040
16.3196,48.1287,5166,040
50.6279,26.2871,6735,048
50.6029,26.2788,5380,048
50.6112,26.2788,6676,048
50.6362,26.2788,8020,048
50.6446,26.2788,6632,048
50.6529,26.2788,5998,048
50.6029,26.2704,8664,048
50.6279,26.2704,9463,048
50.6529,26.2704,7105,048
50.6029,26.2621,8755,048
